title,price,area,address,floors,bedrooms,description,phan_khu,view,furniture
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.37 tỷ,Diện tích: 38.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",7 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.15 tỷ,Diện tích: 90.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",5 tầng,3 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.31 tỷ,Diện tích: 84.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",7 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Sapphire,Thành phố,Full đồ
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 4.11 tỷ,Diện tích: 84.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",4 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Sapphire,Thành phố,Full đồ
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.8 tỷ,Diện tích: 35.5 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",4 tầng,1 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Cơ bản",Sapphire,Hồ Ngọc Trai,Cơ bản
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.89 tỷ,Diện tích: 70.0 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",35 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Sapphire,Nội khu,Full đồ
Bán gấp căn 3N phân khu Sapphire Vinhomes Ocean Park,Giá: 3.5 tỷ,Diện tích: 79.6 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",18 tầng,3 phòng ngủ,"Căn hộ view Thành phố, nội thất Full đồ",Sapphire,Thành phố,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.29 tỷ,Diện tích: 64.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",3 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.63 tỷ,Diện tích: 43.4 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",18 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 3.57 tỷ,Diện tích: 66.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",9 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Pavilion,Nội khu,Full đồ
Bán gấp căn 1N phân khu Zenpark Vinhomes Ocean Park,Giá: 2.7 tỷ,Diện tích: 41.3 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",21 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Zenpark,Nội khu,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.85 tỷ,Diện tích: 64.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",20 tầng,2 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Cơ bản",Sapphire,Hồ Ngọc Trai,Cơ bản
Bán gấp căn 2N phân khu Zenpark Vinhomes Ocean Park,Giá: 3.59 tỷ,Diện tích: 67.9 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",15 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Zenpark,Thành phố,Trống
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.83 tỷ,Diện tích: 33.5 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",20 tầng,1 phòng ngủ,"Căn hộ view Hồ Ngọc Trai, nội thất Full đồ",Sapphire,Hồ Ngọc Trai,Full đồ
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.19 tỷ,Diện tích: 58.2 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",10 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 2N phân khu Pavilion Vinhomes Ocean Park,Giá: 2.82 tỷ,Diện tích: 58.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",24 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Pavilion,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.23 tỷ,Diện tích: 30.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",17 tầng,1 phòng ngủ,"Căn hộ view Thành phố, nội thất Cơ bản",Sapphire,Thành phố,Cơ bản
Bán gấp căn 1N phân khu Zenpark Vinhomes Ocean Park,Giá: 2.61 tỷ,Diện tích: 39.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",15 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Zenpark,Nội khu,Full đồ
Bán gấp căn 1N phân khu Pavilion Vinhomes Ocean Park,Giá: 1.81 tỷ,Diện tích: 33.3 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",16 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Full đồ",Pavilion,Nội khu,Full đồ
Bán gấp căn 1N phân khu Sapphire Vinhomes Ocean Park,Giá: 1.17 tỷ,Diện tích: 30.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",26 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
Bán gấp căn 1N phân khu Pavilion Vinhomes Ocean Park,Giá: 1.51 tỷ,Diện tích: 34.8 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",31 tầng,1 phòng ngủ,"Căn hộ view Nội khu, nội thất Trống",Pavilion,Nội khu,Trống
Bán gấp căn 2N phân khu Zenpark Vinhomes Ocean Park,Giá: 3.58 tỷ,Diện tích: 69.1 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",29 tầng,2 phòng ngủ,"Căn hộ view Thành phố, nội thất Trống",Zenpark,Thành phố,Trống
Bán gấp căn 2N phân khu Sapphire Vinhomes Ocean Park,Giá: 2.64 tỷ,Diện tích: 65.7 m²,"Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",29 tầng,2 phòng ngủ,"Căn hộ view Nội khu, nội thất Cơ bản",Sapphire,Nội khu,Cơ bản
